Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod2,0,TC_A1_1,1,0,TC 1 0.03 m BC East,TC A1,Temperature
SC1Mod2,1,TC_A1_2,1,0,TC 1 0.30 m BC East,TC A1,Temperature
SC1Mod2,2,TC_A1_3,1,0,TC 1 0.61 m BC East,TC A1,Temperature
SC1Mod2,3,TC_A1_4,1,0,TC 1 0.91 m BC East,TC A1,Temperature
SC1Mod2,4,TC_A1_5,1,0,TC 1 1.22 m BC East,TC A1,Temperature
SC1Mod2,5,TC_A1_6,1,0,TC 1 1.52 m BC East,TC A1,Temperature
SC1Mod2,6,TC_A1_7,1,0,TC 1 1.83 m BC East,TC A1,Temperature
SC1Mod2,7,TC_A1_8,1,0,TC 1 2.13 m BC East,TC A1,Temperature
SC1Mod2,8,TC_A2_1,1,0,TC 2 0.03 m BC East,TC A2,Temperature
SC1Mod2,9,TC_A2_2,1,0,TC 2 0.30 m BC East,TC A2,Temperature
SC1Mod2,10,TC_A2_3,1,0,TC 2 0.61 m BC East,TC A2,Temperature
SC1Mod2,11,TC_A2_4,1,0,TC 2 0.91 m BC East,TC A2,Temperature
SC1Mod2,12,TC_A2_5,1,0,TC 2 1.22 m BC East,TC A2,Temperature
SC1Mod2,13,TC_A2_6,1,0,TC 2 1.52 m BC East,TC A2,Temperature
SC1Mod2,14,TC_A2_7,1,0,TC 2 1.83 m BC East,TC A2,Temperature
SC1Mod2,15,TC_A2_8,1,0,TC 2 2.13 m BC East,TC A2,Temperature
SC1Mod2,16,TC_A4_1,1,0,TC 4 0.03 m BC East,TC A4,Temperature
SC1Mod2,17,TC_A4_2,1,0,TC 4 0.30 m BC East,TC A4,Temperature
SC1Mod2,18,TC_A4_3,1,0,TC 4 0.61 m BC East,TC A4,Temperature
SC1Mod2,19,TC_A4_4,1,0,TC 4 0.91 m BC East,TC A4,Temperature
SC1Mod2,20,TC_A4_5,1,0,TC 4 1.22 m BC East,TC A4,Temperature
SC1Mod2,21,TC_A4_6,1,0,TC 4 1.52 m BC East,TC A4,Temperature
SC1Mod2,22,TC_A4_7,1,0,TC 4 1.83 m BC East,TC A4,Temperature
SC1Mod2,23,TC_A4_8,1,0,TC 4 2.13 m BC East,TC A4,Temperature
SC1Mod2,24,TC_A5_1,1,0,TC 5 0.03 m BC East,TC A5,Temperature
SC1Mod2,25,TC_A5_2,1,0,TC 5 0.30 m BC East,TC A5,Temperature
SC1Mod2,26,TC_A5_3,1,0,TC 5 0.61 m BC East,TC A5,Temperature
SC1Mod2,27,TC_A5_4,1,0,TC 5 0.91 m BC East,TC A5,Temperature
SC1Mod2,28,TC_A5_5,1,0,TC 5 1.22 m BC East,TC A5,Temperature
SC1Mod2,29,TC_A5_6,1,0,TC 5 1.52 m BC East,TC A5,Temperature
SC1Mod2,30,TC_A5_7,1,0,TC 5 1.83 m BC East,TC A5,Temperature
SC1Mod2,31,TC_A5_8,1,0,TC 5 2.13 m BC East,TC A5,Temperature
